Month,Days,Google Spend,Google Revenue,Meta Spend,Meta Revenue,Website Sales,Lucas Sales,Affiliate Sales,Total Business Sales,Website Traffic
Jan 2025,31,5170,41500,0,0,78425,11953,17122,102500,7700
Feb 2025,28,4001,40600,0,0,69585,15218,12548,89474,6300
Mar 2025,31,7210,44000,0,0,78425,9755,17122,90545,7800
Apr 2025,30,4460,38600,0,0,67196,6178,15402,78672,5600
May 2025,31,5170,38100,0,0,71807,11252,9556,83630,6819
Jun 2025,30,5520,18800,0,0,38293,5188,5300,56502,7535
Jul 2025,31,9950,40700,0,0,80967,18008,10996,101493,9600
Aug 2025,31,6520,31700,0,0,68162,6380,12841,76984,15000
Sep 2025,30,7500,28500,0,0,59700,9291,10320,74119,10000
Oct 2025,31,8920,40200,2739,20567,63745,9345,15781,83009,13000
Nov 2025,30,8370,55000,5116,41345,105565,16449,13469,125452,13000
Dec 2025,16,4100,23600,2092,14009,42849,8025,7274,55885,5018
